identifier,filename,clipId,start,end
ATMA,split_46_2020-06-03_05_34_27.wav,46,2335301,2383301
ATMA,split_47_2020-06-03_05_34_27.wav,47,2387463,2435463
ATMA,split_48_2020-06-03_05_34_27.wav,48,2399438,2447438
ATMA,split_0_2020-06-03_05_38_59.wav,0,10522,58522
ATMA,split_1_2020-06-03_05_38_59.wav,1,45441,93441
ATMA,split_2_2020-06-03_05_38_59.wav,2,63116,111116
ATMA,split_3_2020-06-03_05_38_59.wav,3,139145,187145
ATMA,split_4_2020-06-03_05_38_59.wav,4,210443,258443
ATMA,split_5_2020-06-03_05_38_59.wav,5,300785,348785
ATMA,split_6_2020-06-03_05_38_59.wav,6,371522,419522
ATMA,split_7_2020-06-03_05_38_59.wav,7,404848,452848
ATMA,split_8_2020-06-03_05_38_59.wav,8,490281,538281
ATMA,split_9_2020-06-03_05_38_59.wav,9,548157,596157
ATMA,split_10_2020-06-03_05_38_59.wav,10,579268,627268
ATMA,split_11_2020-06-03_05_38_59.wav,11,623493,671493
ATMA,split_12_2020-06-03_05_38_59.wav,12,631249,679249
ATMA,split_13_2020-06-03_05_38_59.wav,13,641200,689200
ATMA,split_14_2020-06-03_05_38_59.wav,14,674034,722034
ATMA,split_15_2020-06-03_05_38_59.wav,15,714418,762418
ATMA,split_16_2020-06-03_05_38_59.wav,16,776729,824729
ATMA,split_17_2020-06-03_05_38_59.wav,17,805658,853658
ATMA,split_18_2020-06-03_05_38_59.wav,18,839001,887001
ATMA,split_19_2020-06-03_05_38_59.wav,19,922044,970044
ATMA,split_20_2020-06-03_05_38_59.wav,20,946486,994486
ATMA,split_21_2020-06-03_05_38_59.wav,21,1005315,1053315
ATMA,split_22_2020-06-03_05_38_59.wav,22,1026533,1074533
ATMA,split_23_2020-06-03_05_38_59.wav,23,1066994,1114994
ATMA,split_24_2020-06-03_05_38_59.wav,24,1120951,1168951
ATMA,split_25_2020-06-03_05_38_59.wav,25,1157141,1205141
ATMA,split_26_2020-06-03_05_38_59.wav,26,1181445,1229445
ATMA,split_27_2020-06-03_05_38_59.wav,27,1259422,1307422
ATMA,split_28_2020-06-03_05_38_59.wav,28,1335901,1383901
ATMA,split_29_2020-06-03_05_38_59.wav,29,1353014,1401014
ATMA,split_30_2020-06-03_05_38_59.wav,30,1413939,1461939
ATMA,split_31_2020-06-03_05_38_59.wav,31,1483471,1531471
ATMA,split_32_2020-06-03_05_38_59.wav,32,1514191,1562191
ATMA,split_33_2020-06-03_05_38_59.wav,33,1549440,1597440
ATMA,split_34_2020-06-03_05_38_59.wav,34,1588234,1636234
ATMA,split_35_2020-06-03_05_38_59.wav,35,1647157,1695157
ATMA,split_36_2020-06-03_05_38_59.wav,36,1667408,1715408
ATMA,split_37_2020-06-03_05_38_59.wav,37,1746261,1794261
ATMA,split_38_2020-06-03_05_38_59.wav,38,1809563,1857563
ATMA,split_39_2020-06-03_05_38_59.wav,39,1841002,1889002
ATMA,split_40_2020-06-03_05_38_59.wav,40,1885117,1933117
ATMA,split_41_2020-06-03_05_38_59.wav,41,1917146,1965146
ATMA,split_42_2020-06-03_05_38_59.wav,42,1944194,1992194
ATMA,split_43_2020-06-03_05_38_59.wav,43,2014674,2062674
ATMA,split_44_2020-06-03_05_38_59.wav,44,2046488,2094488
ATMA,split_45_2020-06-03_05_38_59.wav,45,2102757,2150757
ATMA,split_46_2020-06-03_05_38_59.wav,46,2206404,2254404
ATMA,split_47_2020-06-03_05_38_59.wav,47,2236998,2284998
ATMA,split_48_2020-06-03_05_38_59.wav,48,2246101,2294101
ATMA,split_49_2020-06-03_05_38_59.wav,49,2299771,2347771
ATMA,split_50_2020-06-03_05_38_59.wav,50,2314952,2362952
ATMA,split_51_2020-06-03_05_38_59.wav,51,2350293,2398293
ATMA,split_52_2020-06-03_05_38_59.wav,52,2442748,2490748
ATMA,split_53_2020-06-03_05_38_59.wav,53,2506211,2554211
ATMA,split_54_2020-06-03_05_38_59.wav,54,2582077,2630077
ATMA,split_55_2020-06-03_05_38_59.wav,55,2662580,2710580
ATMA,split_56_2020-06-03_05_38_59.wav,56,2686178,2734178
